depthicity, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
114, 1877, 1064, 2396
13, 521, 201, 1097
153, 1121, 603, 1534
16, 1148, 308, 1277
188, 2783, 1015, 2959
231, 2151, 1022, 3317
20, 1009, 338, 1285
70, 975, 398, 1348
113, 1625, 639, 1462
418, 3821, 1971, 3404
117, 1643, 1095, 2199
156, 2370, 1110, 2704
123, 1138, 662, 1522
131, 1416, 709, 2216
160, 1204, 677, 1724
174, 2620, 1598, 3036
198, 1935, 1009, 2727
21, 1245, 344, 1759
215, 2382, 1218, 1708
219, 2899, 1352, 2176
222, 1902, 1045, 2076
240, 3353, 1132, 2100
241, 1821, 1106, 1987
240, 2049, 1008, 2033
243, 1901, 1088, 2473
262, 2170, 1063, 2057
312, 3060, 1661, 3136
276, 3300, 1883, 2712
320, 5044, 2778, 4681
288, 3181, 1327, 2855
321, 4345, 2553, 3605
323, 2890, 1707, 3994
329, 3047, 1669, 3810
342, 2937, 1567, 2903
347, 2897, 1570, 3116
35, 868, 250, 1260
353, 4350, 2180, 3156
395, 3422, 1971, 4072
339, 3252, 1608, 2995
45, 1268, 474, 1796
35, 710, 246, 1084
430, 3646, 1883, 3153
466, 6521, 2010, 3325
478, 6083, 3090, 4719
457, 4867, 2225, 3830
63, 1528, 567, 2235
81, 1103, 402, 1577
88, 1631, 891, 2201
91, 1155, 453, 2098
489, 6226, 3133, 4613
