branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
1, 2, 2, 1, 3, 2, 0, 0, 0, 4, 0, 3305, 305, 60
114, 2, 8918, 1, 6, 1, 0, 0, 0, 6, 0, 134178, 31365, 129218
67, 2, 3243, 1, 6, 0, 0, 0, 0, 5, 0, 52068, 10672, 53665
97, 2, 6047, 1, 2, 6, 0, 0, 0, 7, 0, 90469, 22610, 92554
5, 2, 27, 1, 8, 1, 0, 0, 0, 8, 0, 4581, 348, 1144
76, 2, 3180, 1, 2, 0, 0, 0, 0, 1, 0, 63209, 9728, 50688
69, 2, 3140, 1, 2, 0, 0, 0, 0, 1, 0, 54009, 10633, 53206
193, 2, 24858, 1, 3, 0, 0, 0, 0, 2, 0, 340801, 93967, 534939
24, 2, 593, 1, 2, 0, 0, 0, 0, 1, 0, 12524, 2738, 15380
101, 2, 7496, 1, 15, 3, 0, 0, 0, 17, 0, 101523, 21184, 120598
169, 2, 21450, 1, 4, 1, 0, 0, 0, 4, 0, 358844, 85244, 430345
54, 2, 1895, 1, 5, 1, 0, 0, 0, 5, 0, 47456, 7672, 30141
140, 2, 13875, 1, 1, 0, 0, 0, 0, 0, 0, 155721, 42371, 255842
15, 2, 208, 1, 14, 2, 0, 0, 0, 15, 0, 14447, 1138, 5916
190, 2, 22478, 1, 7, 2, 0, 0, 0, 8, 0, 299558, 80398, 460999
11, 2, 82, 1, 2, 0, 0, 0, 0, 1, 0, 8869, 600, 3513
8, 2, 45, 1, 2, 0, 0, 0, 0, 1, 0, 9184, 744, 4152
78, 2, 4171, 1, 1, 0, 0, 0, 0, 0, 0, 66862, 12595, 76488
58, 2, 2372, 1, 5, 1, 0, 0, 0, 5, 0, 46806, 8127, 45157
199, 2, 28439, 1, 5, 0, 0, 0, 0, 4, 0, 360366, 116131, 587592
171, 2, 17535, 1, 8, 4, 0, 0, 0, 11, 0, 239118, 64691, 363526
31, 2, 523, 1, 2, 0, 0, 0, 0, 1, 0, 17496, 2190, 10872
140, 2, 13554, 1, 11, 4, 0, 0, 0, 14, 0, 163849, 43998, 241907
8, 2, 46, 1, 5, 4, 0, 0, 0, 8, 0, 9403, 458, 3022
146, 2, 14590, 1, 3, 0, 0, 0, 0, 2, 0, 173792, 54242, 305490
59, 2, 2321, 1, 6, 0, 0, 0, 0, 5, 0, 58375, 6687, 49671
65, 2, 3829, 1, 5, 3, 0, 0, 0, 7, 0, 53239, 11531, 50470
128, 2, 11540, 1, 2, 1, 0, 0, 0, 2, 0, 110961, 35630, 196507
133, 2, 11670, 1, 0, 1, 0, 0, 0, 0, 0, 184758, 40694, 196415
152, 2, 16938, 1, 8, 0, 0, 0, 0, 7, 0, 178909, 62078, 313369
192, 2, 26872, 1, 3, 0, 0, 0, 0, 2, 0, 386037, 110674, 576176
54, 2, 2022, 1, 4, 0, 0, 0, 0, 3, 0, 36156, 5688, 29001
107, 2, 7519, 1, 3, 2, 0, 0, 0, 4, 0, 103297, 26337, 107356
15, 2, 212, 1, 5, 1, 0, 0, 0, 5, 0, 7220, 1166, 4208
76, 2, 4077, 1, 4, 0, 0, 0, 0, 3, 0, 73675, 11787, 46643
183, 2, 21980, 1, 2, 0, 0, 0, 0, 1, 0, 271191, 67706, 445206
151, 2, 13108, 1, 3, 1, 0, 0, 0, 3, 0, 184096, 46469, 242923
190, 2, 24652, 1, 1, 0, 0, 0, 0, 0, 0, 354352, 88068, 540303
185, 2, 24620, 1, 3, 3, 0, 0, 0, 5, 0, 300047, 109881, 530012
192, 2, 25986, 1, 5, 0, 0, 0, 0, 4, 0, 373065, 89097, 521065
160, 2, 18067, 1, 1, 0, 0, 0, 0, 0, 0, 216350, 54742, 337716
176, 2, 19320, 1, 0, 1, 0, 0, 0, 0, 0, 331847, 61415, 361299
161, 2, 19525, 1, 0, 1, 0, 0, 0, 0, 0, 289724, 68668, 374555
120, 2, 10642, 1, 3, 0, 0, 0, 0, 2, 0, 156759, 34905, 193546
24, 2, 433, 1, 1, 0, 0, 0, 0, 0, 0, 18429, 2982, 13259
194, 2, 26788, 1, 2, 1, 0, 0, 0, 2, 0, 413338, 96849, 561243
100, 2, 9257, 1, 5, 0, 0, 0, 0, 4, 0, 138047, 31533, 127896
152, 2, 14688, 1, 3, 0, 0, 0, 0, 2, 0, 168022, 48410, 266899
91, 2, 6503, 1, 2, 1, 0, 0, 0, 2, 0, 79051, 21484, 89887
103, 2, 6961, 1, 5, 0, 0, 0, 0, 4, 0, 107177, 20943, 99696
37, 2, 987, 1, 2, 2, 0, 0, 0, 3, 0, 25227, 3950, 25260
15, 2, 73, 1, 3, 2, 0, 0, 0, 4, 0, 10076, 588, 4274
81, 2, 4829, 1, 1, 0, 0, 0, 0, 0, 0, 48490, 11639, 65094
187, 2, 26917, 1, 2, 0, 0, 0, 0, 1, 0, 320826, 81464, 519832
179, 2, 23821, 1, 4, 0, 0, 0, 0, 3, 0, 325479, 91921, 459692
48, 2, 1378, 1, 2, 0, 0, 0, 0, 1, 0, 25135, 4232, 33326
97, 2, 6471, 1, 3, 0, 0, 0, 0, 2, 0, 118585, 22827, 106012
135, 2, 11464, 1, 2, 0, 0, 0, 0, 1, 0, 163398, 45028, 191077
62, 2, 2599, 1, 2, 0, 0, 0, 0, 1, 0, 58288, 7877, 43658
94, 2, 6549, 1, 2, 0, 0, 0, 0, 1, 0, 94501, 23736, 94222
113, 2, 7894, 1, 1, 0, 0, 0, 0, 0, 0, 89581, 21673, 124841
133, 2, 12918, 1, 1, 0, 0, 0, 0, 0, 0, 150198, 38040, 240505
107, 2, 6838, 1, 3, 1, 0, 0, 0, 3, 0, 98114, 21960, 108487
106, 2, 7323, 1, 0, 1, 0, 0, 0, 0, 0, 118043, 24517, 130719
166, 2, 18276, 1, 5, 1, 0, 0, 0, 5, 0, 276657, 72229, 357595
7, 2, 40, 1, 1, 0, 0, 0, 0, 0, 0, 8724, 435, 2396
85, 2, 6727, 1, 1, 1, 0, 0, 0, 1, 0, 95903, 22508, 93024
20, 2, 263, 1, 3, 0, 0, 0, 0, 2, 0, 8367, 985, 4821
80, 2, 4046, 1, 4, 0, 0, 0, 0, 3, 0, 56328, 10994, 51008
20, 2, 453, 1, 6, 1, 0, 0, 0, 6, 0, 23629, 2258, 12202
7, 2, 53, 1, 2, 1, 0, 0, 0, 2, 0, 7330, 507, 2522
3, 2, 10, 1, 2, 1, 0, 0, 0, 2, 0, 3331, 304, 1017
43, 2, 1722, 1, 14, 3, 0, 0, 0, 16, 0, 36176, 7228, 22889
121, 2, 9335, 1, 15, 1, 0, 0, 0, 15, 0, 125902, 26901, 175826
63, 2, 3072, 1, 1, 0, 0, 0, 0, 0, 0, 72766, 10526, 38730
120, 2, 9909, 1, 3, 0, 0, 0, 0, 2, 0, 158051, 33865, 164707
171, 2, 20236, 1, 8, 2, 0, 0, 0, 9, 0, 277284, 65810, 408615
179, 2, 19908, 1, 4, 0, 0, 0, 0, 3, 0, 279555, 78620, 429848
41, 2, 1135, 1, 19, 2, 0, 0, 0, 20, 0, 40849, 5071, 13548
5, 2, 18, 1, 2, 0, 0, 0, 0, 1, 0, 6007, 397, 1613
154, 2, 20316, 1, 19, 1, 0, 0, 0, 19, 0, 218880, 70429, 378329
50, 2, 2064, 1, 1, 3, 0, 0, 0, 3, 0, 50305, 7552, 31672
16, 2, 114, 1, 2, 0, 0, 0, 0, 1, 0, 12303, 2045, 6229
