branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1586, 34, 0, 0, 24, 0, 54726, 9492, 29917
50, 2, 1696, 47, 0, 0, 29, 0, 38567, 8279, 23227
50, 1, 98, 25, 0, 0, 15, 0, 13164, 1432, 1930
50, 1, 98, 11, 0, 0, 8, 0, 19215, 1437, 2060
50, 2, 1574, 14, 0, 0, 20, 0, 27745, 8042, 27755
50, 2, 1945, 22, 0, 0, 15, 0, 28919, 8027, 38310
50, 1, 99, 24, 0, 0, 24, 0, 12246, 1521, 2141
50, 1, 96, 45, 0, 0, 39, 0, 19930, 1564, 2767
50, 1, 98, 16, 0, 0, 10, 0, 13633, 632, 1400
50, 2, 1742, 14, 0, 0, 14, 0, 27193, 8229, 29658
50, 2, 2067, 44, 0, 0, 60, 0, 57110, 11571, 21161
50, 2, 1904, 21, 0, 0, 24, 0, 49349, 10045, 38987
50, 1, 97, 44, 0, 0, 47, 0, 11956, 646, 1885
50, 2, 1702, 6, 0, 0, 5, 0, 39371, 7062, 30320
50, 2, 1299, 10, 0, 0, 12, 0, 26876, 7014, 35427
50, 1, 94, 40, 0, 0, 33, 0, 15119, 1388, 3346
50, 2, 1617, 21, 0, 0, 8, 0, 25769, 10621, 29375
50, 2, 1757, 37, 0, 0, 41, 0, 31990, 9331, 39380
50, 1, 97, 13, 0, 0, 16, 0, 13786, 724, 2070
50, 2, 1184, 7, 0, 0, 1, 0, 36368, 5697, 17058
50, 1, 92, 49, 0, 0, 64, 0, 14192, 2005, 1788
50, 1, 99, 29, 0, 0, 50, 0, 14125, 510, 1781
50, 1, 96, 14, 0, 0, 16, 0, 16054, 1235, 2535
50, 1, 96, 15, 0, 0, 17, 0, 16877, 1493, 2568
50, 2, 1523, 6, 0, 0, 4, 0, 25232, 5754, 39720
50, 1, 96, 27, 0, 0, 33, 0, 12654, 1201, 1505
50, 1, 99, 6, 0, 0, 5, 0, 20843, 617, 4405
50, 1, 95, 35, 0, 0, 48, 0, 24542, 2470, 3588
50, 2, 1197, 47, 0, 0, 49, 0, 37820, 6989, 32391
