branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2014, 42, 152, 17, 183, 34, 31, 34, 28, 33891, 8798, 33573
50, 2, 2198, 21, 89, 11, 123, 24, 18, 19, 18, 46986, 11960, 32227
50, 2, 1357, 36, 131, 23, 181, 26, 33, 26, 33, 36421, 6819, 21541
50, 2, 1900, 18, 77, 6, 87, 14, 13, 14, 24, 42724, 9220, 26058
50, 2, 1986, 18, 86, 3, 76, 17, 13, 27, 14, 28722, 6725, 29931
50, 2, 1275, 3, 7, 0, 1, 2, 0, 1, 1, 24602, 5404, 19123
50, 2, 1558, 22, 121, 10, 141, 32, 22, 32, 23, 29084, 6288, 23755
50, 2, 2234, 19, 83, 9, 85, 11, 21, 24, 17, 42605, 10900, 33853
50, 2, 1814, 29, 162, 9, 152, 38, 34, 40, 30, 49522, 8798, 37329
50, 2, 2265, 33, 200, 23, 239, 44, 42, 49, 55, 43755, 12828, 32073
50, 2, 1372, 24, 119, 13, 146, 29, 17, 30, 32, 21818, 6307, 20282
50, 2, 2303, 13, 82, 11, 77, 19, 21, 20, 20, 38877, 11118, 43438
50, 2, 1770, 49, 364, 40, 385, 90, 80, 96, 89, 47168, 9994, 25846
50, 2, 1323, 47, 214, 31, 246, 53, 53, 44, 48, 20458, 8952, 19044
50, 2, 2311, 45, 207, 17, 263, 45, 49, 47, 38, 25336, 10004, 35804
50, 2, 1694, 49, 225, 27, 236, 51, 45, 53, 54, 39792, 10935, 26901
50, 2, 1612, 21, 94, 6, 100, 18, 20, 21, 20, 51158, 9780, 28013
50, 2, 1618, 48, 183, 21, 168, 37, 45, 46, 28, 69830, 10217, 19657
50, 2, 2301, 30, 117, 14, 114, 33, 27, 23, 18, 37516, 9363, 32626
50, 2, 1375, 32, 180, 26, 176, 54, 41, 36, 43, 25676, 6665, 37802
50, 2, 1576, 3, 23, 5, 24, 7, 5, 9, 4, 30733, 5343, 32315
50, 2, 1715, 41, 195, 25, 252, 48, 40, 45, 46, 35136, 12717, 26158
50, 2, 1635, 44, 222, 27, 243, 56, 54, 45, 50, 34926, 7617, 23292
50, 2, 2123, 4, 25, 1, 24, 8, 5, 3, 6, 29749, 6397, 26039
50, 2, 1717, 24, 128, 16, 144, 25, 36, 25, 34, 30722, 8613, 22249
50, 2, 1417, 4, 14, 3, 14, 3, 5, 3, 2, 38911, 5061, 30096
50, 2, 1419, 1, 4, 2, 10, 1, 4, 0, 0, 23271, 4833, 29514
