branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1988, 3, 2, 5, 3, 3, 36109, 8753, 35916
50, 2, 1533, 25, 10, 5, 14, 15, 23090, 7620, 36951
50, 2, 1883, 18, 23, 26, 26, 32, 37194, 10144, 43526
50, 1, 96, 7, 13, 8, 12, 10, 17111, 1240, 3107
50, 1, 98, 46, 46, 47, 45, 50, 9804, 716, 3425
50, 1, 100, 8, 5, 4, 7, 4, 11856, 554, 2957
50, 2, 2289, 37, 53, 46, 57, 50, 36721, 11294, 39076
50, 2, 2091, 17, 16, 22, 14, 24, 46687, 9859, 40502
50, 1, 99, 14, 14, 13, 18, 12, 10438, 509, 2526
50, 2, 1501, 27, 23, 20, 23, 26, 36431, 8267, 21468
50, 1, 97, 41, 33, 35, 49, 45, 11488, 793, 1538
50, 2, 1559, 45, 32, 33, 32, 42, 36960, 9326, 22925
50, 2, 2001, 17, 19, 11, 29, 19, 23715, 11076, 46321
50, 2, 1755, 1, 1, 0, 0, 0, 42293, 5772, 29545
50, 1, 98, 44, 37, 41, 37, 33, 10100, 735, 2306
50, 1, 99, 4, 3, 3, 3, 2, 17067, 771, 1532
50, 2, 1721, 28, 27, 22, 19, 25, 29094, 9470, 40603
50, 2, 1326, 40, 52, 38, 39, 31, 48905, 7709, 18484
50, 2, 1840, 46, 49, 50, 53, 55, 42316, 9276, 23473
50, 1, 98, 42, 39, 50, 33, 26, 18353, 1810, 1587
50, 1, 100, 50, 54, 61, 62, 66, 11619, 733, 2639
50, 2, 1473, 26, 22, 25, 18, 27, 40395, 8378, 25004
50, 2, 1607, 12, 9, 9, 12, 13, 41637, 6889, 25693
50, 2, 1711, 47, 37, 44, 27, 34, 29728, 7664, 22190
50, 1, 100, 2, 1, 0, 0, 0, 14606, 651, 2127
50, 2, 1809, 1, 0, 0, 0, 0, 36662, 4803, 22887
50, 2, 1209, 27, 28, 20, 22, 25, 29830, 5920, 19394
50, 1, 95, 32, 30, 32, 32, 44, 18050, 2052, 2980
50, 2, 1422, 41, 41, 49, 39, 58, 25632, 8606, 20884
50, 1, 98, 39, 38, 32, 37, 36, 12652, 721, 2674
50, 1, 100, 39, 35, 27, 32, 38, 20992, 1191, 1748
50, 1, 95, 9, 10, 7, 10, 8, 11953, 1634, 2685
50, 2, 1912, 39, 33, 29, 42, 51, 31635, 8779, 29929
50, 1, 94, 49, 52, 51, 74, 53, 15950, 1540, 1911
50, 1, 96, 5, 4, 1, 1, 3, 10935, 533, 3074
50, 2, 1670, 36, 38, 42, 34, 27, 33101, 8782, 23248
50, 2, 1897, 19, 19, 24, 15, 19, 31429, 7449, 28606
50, 1, 96, 38, 46, 42, 48, 50, 20461, 1999, 5347
50, 1, 98, 11, 5, 10, 9, 11, 14765, 1868, 3691
50, 1, 98, 24, 28, 20, 25, 21, 20945, 983, 1914
50, 2, 2274, 39, 46, 47, 50, 50, 37429, 11767, 42155
50, 2, 1684, 24, 18, 15, 19, 14, 36824, 6577, 18655
50, 2, 1812, 38, 36, 37, 39, 31, 44934, 9697, 21275
50, 1, 97, 8, 3, 5, 3, 7, 16185, 1706, 1890
50, 2, 1721, 41, 57, 45, 48, 53, 41090, 8451, 24599
50, 1, 98, 25, 14, 20, 21, 22, 21950, 1132, 2451
50, 2, 1805, 37, 26, 32, 29, 27, 38544, 8584, 21426
50, 1, 98, 40, 34, 30, 26, 26, 21358, 2088, 2679
50, 1, 99, 5, 2, 2, 5, 5, 13326, 1508, 2391
50, 1, 96, 21, 16, 21, 10, 20, 15967, 1828, 2482
50, 1, 97, 36, 35, 27, 26, 23, 21003, 1037, 3637
50, 2, 1800, 30, 22, 30, 33, 26, 26053, 10032, 32639
50, 1, 98, 34, 35, 41, 33, 28, 12427, 645, 2110
50, 2, 1813, 40, 36, 34, 38, 43, 30114, 9722, 26835
50, 2, 1516, 39, 36, 35, 31, 34, 50111, 8363, 33836
50, 2, 2194, 35, 42, 27, 34, 39, 57234, 11853, 20984
50, 2, 1921, 33, 29, 33, 32, 35, 36019, 8591, 47733
50, 1, 98, 3, 0, 1, 3, 4, 17633, 752, 2923
50, 1, 99, 13, 14, 11, 9, 14, 13303, 527, 2497
50, 2, 1511, 47, 48, 49, 52, 37, 22687, 9262, 26278
50, 1, 97, 41, 36, 29, 38, 33, 12344, 897, 1868
50, 1, 98, 42, 31, 26, 31, 38, 17175, 1470, 1340
50, 1, 100, 27, 15, 22, 26, 15, 11139, 924, 1580
50, 2, 1821, 42, 37, 42, 36, 45, 39449, 8684, 28399
50, 1, 98, 30, 15, 6, 19, 14, 16226, 544, 3014
50, 1, 99, 8, 4, 4, 3, 2, 17255, 1196, 2133
50, 2, 1621, 27, 28, 22, 20, 18, 42154, 8007, 19431
50, 1, 94, 8, 14, 11, 18, 11, 23605, 2109, 3014
50, 2, 2056, 40, 66, 52, 60, 49, 24344, 10612, 30571
50, 1, 100, 12, 11, 13, 15, 12, 9483, 541, 4236
50, 1, 100, 9, 2, 2, 3, 2, 12673, 521, 4265
50, 2, 1694, 45, 45, 41, 44, 52, 27899, 7927, 32082
50, 2, 1662, 6, 13, 12, 9, 9, 43438, 6212, 19017
50, 1, 96, 26, 28, 31, 25, 26, 16829, 1815, 2066
50, 2, 1766, 38, 28, 45, 42, 41, 32552, 9382, 33636
