branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
48, 2, 1772, 1, 5, 2, 0, 0, 0, 0, 6, 39187, 5759, 20295
53, 2, 1853, 1, 7, 0, 0, 0, 0, 0, 6, 32422, 5111, 26019
94, 2, 5544, 1, 2, 2, 0, 0, 0, 0, 3, 69310, 14473, 77588
138, 2, 10981, 1, 1, 1, 0, 0, 0, 0, 1, 125350, 41051, 191178
25, 2, 433, 1, 2, 0, 0, 0, 0, 0, 1, 18484, 2533, 9649
126, 2, 12134, 1, 1, 0, 0, 0, 0, 0, 0, 167605, 39405, 197133
149, 2, 13156, 1, 5, 0, 0, 0, 0, 0, 4, 160389, 44984, 237284
54, 2, 1862, 1, 2, 0, 0, 0, 0, 0, 1, 46444, 7344, 36233
169, 2, 21355, 1, 1, 0, 0, 0, 0, 0, 0, 298431, 73705, 414218
139, 2, 14054, 1, 8, 2, 0, 0, 0, 0, 9, 189156, 46932, 246075
29, 2, 542, 1, 1, 0, 0, 0, 0, 0, 0, 18236, 1792, 14831
170, 2, 16073, 1, 1, 1, 0, 0, 0, 0, 1, 236808, 81513, 312302
78, 2, 4321, 1, 3, 0, 0, 0, 0, 0, 2, 44912, 11058, 47141
38, 2, 1078, 1, 6, 1, 0, 0, 0, 0, 6, 22343, 3950, 18709
37, 2, 835, 1, 6, 2, 0, 0, 0, 0, 7, 23618, 3668, 12042
116, 2, 8932, 1, 1, 0, 0, 0, 0, 0, 0, 129205, 26406, 133233
152, 2, 14198, 1, 9, 1, 0, 0, 0, 0, 9, 203074, 49730, 264095
93, 2, 4771, 1, 1, 1, 0, 0, 0, 0, 1, 98260, 19597, 63605
115, 2, 9812, 1, 3, 0, 0, 0, 0, 0, 2, 146087, 31648, 181334
51, 2, 1674, 1, 2, 0, 0, 0, 0, 0, 1, 32180, 5292, 25646
154, 2, 14007, 1, 10, 3, 0, 0, 0, 0, 12, 188994, 46776, 268661
66, 2, 2769, 1, 1, 1, 0, 0, 0, 0, 1, 52133, 7936, 32658
198, 2, 23488, 1, 3, 0, 0, 0, 0, 0, 2, 316182, 91416, 497393
190, 2, 24364, 1, 7, 4, 0, 0, 0, 0, 10, 283660, 95851, 499934
70, 2, 4249, 1, 7, 3, 0, 0, 0, 0, 9, 67800, 10966, 52998
170, 2, 20525, 1, 0, 1, 0, 0, 0, 0, 0, 280893, 77284, 449075
130, 2, 11273, 1, 2, 1, 0, 0, 0, 0, 2, 124598, 43567, 159922
35, 2, 928, 1, 9, 4, 0, 0, 0, 0, 12, 25919, 3770, 16726
158, 2, 17110, 1, 4, 1, 0, 0, 0, 0, 4, 224877, 57097, 312757
