branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1712, 36, 0, 0, 0, 41, 44452, 12663, 24200
50, 2, 1819, 47, 0, 0, 0, 31, 31422, 9956, 24270
50, 1, 98, 22, 0, 0, 0, 27, 17646, 859, 3220
50, 2, 1522, 13, 0, 0, 0, 10, 46880, 9440, 39127
50, 1, 98, 21, 0, 0, 0, 25, 14370, 1102, 1833
50, 1, 98, 33, 0, 0, 0, 35, 16912, 1764, 3039
50, 1, 99, 25, 0, 0, 0, 27, 10402, 658, 1598
50, 1, 99, 34, 0, 0, 0, 29, 10405, 759, 4418
50, 1, 98, 24, 0, 0, 0, 22, 13028, 991, 2970
50, 2, 1193, 35, 0, 0, 0, 47, 39032, 10353, 21286
50, 2, 1908, 22, 0, 0, 0, 14, 52958, 8576, 19536
50, 2, 1507, 6, 0, 0, 0, 8, 28390, 7119, 29271
50, 1, 96, 27, 0, 0, 0, 20, 12225, 1255, 2919
50, 2, 1430, 7, 0, 0, 0, 14, 34105, 5992, 29136
50, 2, 1762, 40, 0, 0, 0, 47, 32270, 10953, 32990
50, 1, 99, 15, 0, 0, 0, 21, 14019, 835, 1372
50, 1, 95, 1, 0, 0, 0, 0, 18705, 787, 2229
50, 2, 1671, 20, 0, 0, 0, 17, 44922, 7811, 16963
50, 2, 1820, 10, 0, 0, 0, 6, 47893, 7354, 22996
50, 2, 1801, 32, 0, 0, 0, 36, 32554, 10627, 24398
50, 1, 97, 1, 0, 0, 0, 2, 17081, 2165, 2819
50, 2, 2433, 50, 0, 0, 0, 53, 36506, 13794, 33520
50, 1, 98, 43, 0, 0, 0, 41, 10387, 670, 2019
50, 1, 99, 48, 0, 0, 0, 59, 14172, 1017, 2327
50, 1, 99, 32, 0, 0, 0, 52, 13802, 1175, 3494
50, 2, 1693, 9, 0, 0, 0, 11, 31176, 7531, 20912
50, 2, 1824, 13, 0, 0, 0, 12, 45475, 9667, 43764
50, 2, 2308, 28, 0, 0, 0, 22, 40893, 11676, 44605
50, 1, 97, 37, 0, 0, 0, 39, 18249, 1930, 2858
50, 2, 1917, 4, 0, 0, 0, 2, 31634, 6673, 26830
50, 1, 98, 18, 0, 0, 0, 18, 14040, 1523, 2493
50, 1, 97, 29, 0, 0, 0, 36, 22188, 1735, 2604
50, 2, 1432, 49, 0, 0, 0, 47, 39627, 10013, 28728
50, 2, 1502, 48, 0, 0, 0, 37, 26419, 13783, 28974
50, 1, 94, 50, 0, 0, 0, 42, 28704, 2985, 3026
50, 2, 2060, 20, 0, 0, 0, 21, 30542, 11119, 39316
50, 2, 1616, 5, 0, 0, 0, 5, 26465, 11613, 33911
50, 2, 1822, 33, 0, 0, 0, 44, 28069, 12558, 30109
50, 1, 97, 8, 0, 0, 0, 1, 14704, 1218, 2170
50, 2, 1598, 14, 0, 0, 0, 9, 36982, 7923, 28682
50, 2, 1688, 18, 0, 0, 0, 22, 37445, 8538, 28510
50, 2, 1510, 2, 0, 0, 0, 0, 37319, 4950, 21216
50, 1, 98, 40, 0, 0, 0, 41, 19878, 902, 2708
50, 1, 99, 21, 0, 0, 0, 19, 10223, 748, 2328
50, 1, 99, 25, 0, 0, 0, 11, 9916, 742, 1944
50, 1, 96, 17, 0, 0, 0, 12, 15422, 2183, 2353
50, 1, 97, 42, 0, 0, 0, 34, 13865, 1893, 4332
50, 1, 98, 25, 0, 0, 0, 18, 12140, 1443, 1763
50, 1, 98, 26, 0, 0, 0, 17, 11754, 1170, 2715
50, 1, 98, 43, 0, 0, 0, 29, 12664, 954, 1444
50, 1, 98, 43, 0, 0, 0, 39, 20316, 1614, 1568
50, 2, 1138, 18, 0, 0, 0, 19, 28230, 4925, 14786
50, 1, 99, 7, 0, 0, 0, 8, 13556, 963, 3080
50, 2, 2018, 18, 0, 0, 0, 12, 42271, 9917, 23837
