branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2217, 44, 184, 22, 2053, 43, 29, 49, 41, 36326, 17449, 29663
50, 2, 2163, 42, 214, 22, 2092, 45, 50, 48, 51, 39168, 13864, 23109
50, 2, 1803, 44, 123, 19, 1407, 16, 31, 28, 23, 33394, 11102, 25551
50, 2, 1574, 35, 124, 18, 1297, 21, 27, 27, 32, 36711, 9594, 34108
50, 2, 1798, 41, 171, 23, 1762, 37, 42, 36, 38, 42468, 11614, 26773
50, 2, 1910, 28, 142, 16, 1719, 32, 30, 26, 42, 52525, 17526, 34399
50, 2, 1611, 17, 63, 8, 688, 15, 10, 10, 19, 32814, 6155, 26998
50, 2, 1792, 41, 216, 29, 2438, 49, 49, 55, 51, 39258, 9949, 24387
50, 2, 2179, 49, 232, 30, 2424, 52, 47, 59, 55, 47317, 13048, 32222
50, 2, 2225, 42, 179, 21, 2141, 34, 45, 38, 41, 43444, 15986, 33633
50, 2, 1819, 46, 218, 23, 2361, 53, 48, 49, 45, 51858, 10704, 30090
50, 2, 1866, 7, 26, 4, 373, 5, 8, 5, 5, 36334, 7157, 39527
50, 2, 2271, 5, 24, 3, 252, 8, 6, 3, 5, 40853, 8590, 28978
50, 2, 1544, 32, 139, 15, 1599, 28, 27, 27, 40, 37081, 10356, 21934
50, 2, 1842, 1, 4, 0, 17, 1, 0, 1, 1, 30286, 5783, 21404
50, 2, 1330, 22, 98, 10, 1022, 24, 19, 24, 19, 30545, 9630, 16794
50, 2, 1637, 13, 68, 7, 648, 14, 18, 13, 17, 43272, 9423, 36774
50, 2, 1991, 10, 51, 3, 565, 15, 10, 8, 11, 28718, 8979, 28353
50, 2, 1862, 10, 36, 3, 368, 10, 4, 10, 5, 36471, 6860, 28423
50, 2, 2120, 5, 17, 2, 180, 3, 5, 3, 3, 35421, 8124, 22951
50, 2, 1640, 10, 33, 1, 464, 7, 5, 4, 8, 38509, 8785, 26403
50, 2, 1630, 36, 156, 24, 1869, 31, 39, 32, 42, 34039, 9648, 21528
50, 2, 2138, 14, 84, 9, 904, 15, 20, 22, 22, 34704, 9987, 34706
50, 2, 1630, 31, 133, 13, 1371, 28, 33, 28, 26, 32048, 10565, 25500
50, 2, 1940, 8, 36, 4, 359, 10, 8, 9, 5, 35693, 8017, 24070
50, 2, 1780, 33, 106, 14, 1414, 23, 24, 22, 18, 40049, 15072, 29250
50, 2, 2230, 37, 154, 11, 1711, 28, 39, 29, 32, 65215, 15303, 36980
50, 2, 1808, 42, 188, 27, 2319, 51, 40, 39, 43, 26175, 10683, 39576
50, 2, 1965, 42, 182, 17, 1995, 35, 38, 38, 46, 36890, 10961, 31110
50, 2, 1678, 43, 141, 23, 1489, 26, 29, 31, 35, 43294, 9692, 24093
50, 2, 1408, 38, 152, 19, 1582, 36, 33, 30, 34, 34202, 9907, 27881
50, 2, 1313, 4, 24, 4, 218, 8, 5, 6, 5, 40105, 5472, 14774
