branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2272, 26, 0, 140, 0, 0, 0, 114, 0, 49294, 16633, 24861
50, 2, 1951, 33, 0, 180, 0, 0, 0, 147, 0, 35926, 19929, 44396
50, 2, 1802, 46, 0, 194, 0, 0, 0, 148, 0, 43761, 16733, 23096
50, 2, 1801, 29, 0, 199, 0, 0, 0, 170, 0, 40999, 15314, 29356
50, 2, 1174, 10, 0, 47, 0, 0, 0, 37, 0, 32512, 6769, 33105
50, 2, 2309, 9, 0, 28, 0, 0, 0, 19, 0, 50933, 10252, 32614
50, 2, 1671, 49, 0, 215, 0, 0, 0, 166, 0, 23684, 19735, 22834
50, 2, 1229, 14, 0, 65, 0, 0, 0, 51, 0, 23268, 6615, 21445
50, 2, 1613, 28, 0, 97, 0, 0, 0, 69, 0, 27636, 11161, 36506
50, 2, 1799, 20, 0, 72, 0, 0, 0, 52, 0, 32071, 13324, 32255
50, 2, 1940, 1, 0, 6, 0, 0, 0, 5, 0, 27961, 6392, 28354
50, 2, 1495, 24, 0, 102, 0, 0, 0, 78, 0, 36766, 12605, 31866
50, 2, 2096, 34, 0, 186, 0, 0, 0, 152, 0, 30519, 20273, 29900
50, 2, 1812, 18, 0, 92, 0, 0, 0, 74, 0, 44872, 11372, 30526
50, 2, 1610, 12, 0, 84, 0, 0, 0, 72, 0, 30079, 11116, 32583
50, 2, 1942, 22, 0, 115, 0, 0, 0, 93, 0, 37438, 14854, 45682
50, 2, 2184, 24, 0, 109, 0, 0, 0, 85, 0, 39435, 14025, 28091
50, 2, 1752, 35, 0, 124, 0, 0, 0, 89, 0, 24771, 14331, 37301
50, 2, 1824, 41, 0, 177, 0, 0, 0, 136, 0, 30073, 14572, 22299
50, 2, 1055, 39, 0, 151, 0, 0, 0, 112, 0, 48649, 10115, 15714
50, 2, 1834, 5, 0, 23, 0, 0, 0, 18, 0, 50782, 10725, 31020
50, 2, 1746, 29, 0, 120, 0, 0, 0, 91, 0, 37421, 10899, 22027
50, 2, 2561, 6, 0, 13, 0, 0, 0, 7, 0, 54788, 14014, 36570
50, 2, 1475, 1, 0, 3, 0, 0, 0, 2, 0, 32046, 5448, 21425
50, 2, 1817, 13, 0, 63, 0, 0, 0, 50, 0, 33777, 10462, 23571
50, 2, 1075, 5, 0, 19, 0, 0, 0, 14, 0, 35976, 4646, 17907
50, 2, 1615, 49, 0, 250, 0, 0, 0, 201, 0, 28928, 17523, 25494
50, 2, 2161, 18, 0, 89, 0, 0, 0, 71, 0, 45438, 12505, 30478
50, 2, 1864, 29, 0, 144, 0, 0, 0, 115, 0, 33990, 14600, 51160
50, 2, 1836, 7, 0, 33, 0, 0, 0, 26, 0, 37584, 7607, 21996
50, 2, 1314, 10, 0, 58, 0, 0, 0, 48, 0, 36832, 8373, 12410
