branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1588, 9, 0, 33, 0, 0, 24, 0, 0, 36578, 7055, 19606
50, 2, 1963, 50, 0, 215, 0, 0, 165, 0, 0, 37333, 7483, 24482
50, 2, 1599, 5, 0, 14, 0, 0, 9, 0, 0, 32254, 6118, 17657
50, 2, 2355, 8, 0, 23, 0, 0, 15, 0, 0, 44444, 9465, 29482
50, 2, 1389, 39, 0, 212, 0, 0, 173, 0, 0, 45295, 8143, 18724
50, 2, 1690, 34, 0, 174, 0, 0, 140, 0, 0, 51859, 8548, 22939
50, 2, 1586, 13, 0, 39, 0, 0, 26, 0, 0, 28040, 5132, 21725
50, 2, 1601, 45, 0, 245, 0, 0, 200, 0, 0, 34892, 8542, 37455
50, 2, 1655, 4, 0, 20, 0, 0, 16, 0, 0, 45050, 6102, 31141
50, 2, 1578, 27, 0, 170, 0, 0, 143, 0, 0, 43736, 6756, 22616
50, 2, 2152, 32, 0, 119, 0, 0, 87, 0, 0, 28740, 8617, 29087
50, 2, 1994, 19, 0, 90, 0, 0, 71, 0, 0, 46053, 6984, 24864
50, 2, 1430, 14, 0, 65, 0, 0, 51, 0, 0, 24128, 6012, 36600
50, 2, 1890, 22, 0, 105, 0, 0, 83, 0, 0, 34620, 6515, 28566
50, 2, 1329, 50, 0, 256, 0, 0, 206, 0, 0, 38170, 5877, 18673
50, 2, 1759, 19, 0, 61, 0, 0, 42, 0, 0, 34210, 6031, 29105
50, 2, 1690, 43, 0, 253, 0, 0, 210, 0, 0, 27593, 6648, 25174
50, 2, 1845, 31, 0, 175, 0, 0, 144, 0, 0, 41645, 6534, 24697
50, 2, 1779, 3, 0, 17, 0, 0, 14, 0, 0, 30491, 10125, 38881
