branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1749, 12, 0, 74, 0, 62, 0, 0, 0, 27500, 6370, 26468
50, 2, 1947, 35, 0, 189, 0, 154, 0, 0, 0, 53186, 8832, 26782
50, 2, 1887, 42, 0, 215, 0, 173, 0, 0, 0, 25987, 8107, 27968
50, 2, 1457, 24, 0, 95, 0, 71, 0, 0, 0, 29074, 7449, 26171
50, 2, 2131, 28, 0, 143, 0, 115, 0, 0, 0, 31298, 7392, 46384
50, 2, 2092, 30, 0, 182, 0, 152, 0, 0, 0, 59366, 11577, 29854
50, 2, 2187, 33, 0, 184, 0, 151, 0, 0, 0, 37795, 9309, 31780
50, 2, 1848, 12, 0, 82, 0, 70, 0, 0, 0, 55013, 10141, 26219
50, 2, 1703, 50, 0, 286, 0, 236, 0, 0, 0, 38788, 6832, 38147
50, 2, 1417, 29, 0, 118, 0, 89, 0, 0, 0, 26079, 7845, 23056
50, 2, 1976, 13, 0, 38, 0, 25, 0, 0, 0, 54355, 8334, 23410
50, 2, 1147, 11, 0, 46, 0, 35, 0, 0, 0, 33103, 4802, 17784
50, 2, 1805, 26, 0, 123, 0, 97, 0, 0, 0, 42519, 8203, 23337
50, 2, 1326, 48, 0, 245, 0, 197, 0, 0, 0, 24788, 5212, 35749
50, 2, 1293, 30, 0, 197, 0, 167, 0, 0, 0, 24888, 6203, 22367
50, 2, 1879, 30, 0, 187, 0, 157, 0, 0, 0, 32271, 6796, 27029
50, 2, 1517, 22, 0, 93, 0, 71, 0, 0, 0, 32910, 6975, 33446
50, 2, 2236, 17, 0, 85, 0, 68, 0, 0, 0, 30949, 8045, 29548
50, 2, 1518, 35, 0, 188, 0, 153, 0, 0, 0, 37267, 8182, 27190
50, 2, 1699, 7, 0, 54, 0, 47, 0, 0, 0, 33358, 6632, 23759
50, 2, 1790, 32, 0, 130, 0, 98, 0, 0, 0, 31529, 7823, 28893
50, 2, 1460, 34, 0, 200, 0, 166, 0, 0, 0, 39624, 6946, 19805
50, 2, 2078, 48, 0, 258, 0, 210, 0, 0, 0, 60412, 10297, 35517
50, 2, 1247, 1, 0, 1, 0, 0, 0, 0, 0, 34046, 5362, 27255
50, 2, 1092, 3, 0, 22, 0, 19, 0, 0, 0, 37968, 4964, 12591
