branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1579, 33, 0, 171, 0, 0, 0, 0, 138, 52625, 11796, 22196
50, 2, 2236, 16, 0, 93, 0, 0, 0, 0, 77, 53352, 12760, 28553
50, 2, 1607, 20, 0, 96, 0, 0, 0, 0, 76, 41216, 12846, 21755
50, 2, 1985, 33, 0, 187, 0, 0, 0, 0, 154, 27349, 21427, 41566
50, 2, 2381, 14, 0, 59, 0, 0, 0, 0, 45, 29876, 13158, 37931
50, 2, 1883, 38, 0, 184, 0, 0, 0, 0, 146, 30205, 24523, 28800
50, 2, 2124, 30, 0, 152, 0, 0, 0, 0, 122, 37712, 21337, 30071
50, 2, 1798, 31, 0, 251, 0, 0, 0, 0, 220, 28228, 14541, 27992
50, 2, 1801, 27, 0, 129, 0, 0, 0, 0, 102, 38058, 15019, 22871
50, 2, 1616, 24, 0, 123, 0, 0, 0, 0, 99, 38371, 10691, 19042
50, 2, 1586, 9, 0, 42, 0, 0, 0, 0, 33, 28380, 7098, 25511
50, 2, 2186, 43, 0, 208, 0, 0, 0, 0, 165, 24757, 16553, 24556
50, 2, 1952, 24, 0, 133, 0, 0, 0, 0, 109, 39352, 15254, 28306
50, 2, 1789, 11, 0, 39, 0, 0, 0, 0, 28, 42675, 8577, 23216
50, 2, 1622, 20, 0, 89, 0, 0, 0, 0, 69, 27634, 9199, 20896
50, 2, 1342, 31, 0, 221, 0, 0, 0, 0, 190, 28534, 12315, 30761
50, 2, 1555, 33, 0, 162, 0, 0, 0, 0, 129, 23007, 12133, 40034
50, 2, 1504, 26, 0, 126, 0, 0, 0, 0, 100, 30703, 14377, 21233
50, 2, 1866, 40, 0, 197, 0, 0, 0, 0, 157, 35586, 16900, 25779
50, 2, 1790, 38, 0, 236, 0, 0, 0, 0, 198, 38285, 14262, 26756
50, 2, 1468, 26, 0, 173, 0, 0, 0, 0, 147, 34882, 13097, 18633
50, 2, 2213, 9, 0, 28, 0, 0, 0, 0, 19, 25877, 9164, 30624
50, 2, 2179, 43, 0, 276, 0, 0, 0, 0, 233, 38232, 21199, 43020
50, 2, 1749, 12, 0, 59, 0, 0, 0, 0, 47, 51374, 12735, 23598
50, 2, 2168, 27, 0, 139, 0, 0, 0, 0, 112, 19723, 11502, 18982
50, 2, 1909, 4, 0, 17, 0, 0, 0, 0, 13, 39897, 8869, 36115
50, 2, 1501, 40, 0, 182, 0, 0, 0, 0, 142, 57620, 18141, 22910
50, 2, 1899, 3, 0, 7, 0, 0, 0, 0, 4, 29966, 8580, 35900
50, 2, 2025, 42, 0, 224, 0, 0, 0, 0, 182, 27920, 25815, 33440
50, 2, 1900, 43, 0, 199, 0, 0, 0, 0, 156, 30296, 15690, 21822
50, 2, 1995, 7, 0, 28, 0, 0, 0, 0, 21, 36050, 8989, 45105
50, 2, 2297, 37, 0, 203, 0, 0, 0, 0, 166, 60572, 19327, 25283
50, 2, 1516, 1, 0, 2, 0, 0, 0, 0, 1, 27040, 7901, 19716
50, 2, 1413, 47, 0, 224, 0, 0, 0, 0, 177, 42329, 16341, 22691
50, 2, 1870, 32, 0, 139, 0, 0, 0, 0, 107, 41935, 18698, 23629
50, 2, 1437, 9, 0, 39, 0, 0, 0, 0, 30, 31056, 10203, 16977
50, 2, 1739, 10, 0, 66, 0, 0, 0, 0, 56, 40828, 13228, 33106
50, 2, 1457, 42, 0, 226, 0, 0, 0, 0, 184, 24349, 16496, 21891
50, 2, 1886, 3, 0, 32, 0, 0, 0, 0, 29, 40083, 12352, 28133
50, 2, 1470, 35, 0, 157, 0, 0, 0, 0, 122, 32383, 11632, 16715
50, 2, 2251, 37, 0, 208, 0, 0, 0, 0, 171, 32127, 21702, 31773
50, 2, 1702, 44, 0, 236, 0, 0, 0, 0, 192, 43983, 20952, 36051
50, 2, 2315, 23, 0, 134, 0, 0, 0, 0, 111, 51294, 20227, 33649
50, 2, 2074, 8, 0, 33, 0, 0, 0, 0, 25, 47888, 10894, 29126
50, 2, 1543, 47, 0, 255, 0, 0, 0, 0, 208, 32108, 16529, 21141
50, 2, 1520, 3, 0, 11, 0, 0, 0, 0, 8, 26299, 8369, 40344
50, 2, 1435, 11, 0, 50, 0, 0, 0, 0, 39, 42086, 9229, 22729
50, 2, 2034, 16, 0, 69, 0, 0, 0, 0, 53, 47576, 12964, 28855
50, 2, 2037, 14, 0, 54, 0, 0, 0, 0, 40, 27302, 9277, 26087
