branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2362, 47, 0, 47, 232, 0, 0, 0, 0, 37242, 10076, 39781
50, 2, 1694, 48, 0, 48, 156, 0, 0, 0, 0, 45862, 8081, 26964
50, 2, 2202, 34, 0, 34, 131, 0, 0, 0, 0, 49606, 9337, 31981
50, 2, 1459, 49, 0, 49, 181, 0, 0, 0, 0, 45276, 6538, 20657
50, 2, 1518, 46, 0, 46, 156, 0, 0, 0, 0, 30386, 6047, 25893
50, 2, 1822, 39, 0, 39, 162, 0, 0, 0, 0, 44957, 7902, 27944
50, 2, 1448, 23, 0, 23, 69, 0, 0, 0, 0, 33924, 5906, 38130
50, 2, 1506, 48, 0, 48, 231, 0, 0, 0, 0, 39521, 6598, 28787
50, 2, 2233, 11, 0, 11, 49, 0, 0, 0, 0, 65410, 8517, 28000
50, 2, 1560, 33, 0, 33, 119, 0, 0, 0, 0, 53375, 7295, 25431
50, 2, 1488, 39, 0, 39, 176, 0, 0, 0, 0, 27216, 8661, 36460
50, 2, 1706, 47, 0, 47, 172, 0, 0, 0, 0, 51222, 7738, 32893
50, 2, 1967, 31, 0, 31, 138, 0, 0, 0, 0, 48568, 10396, 36755
50, 2, 2050, 14, 0, 14, 45, 0, 0, 0, 0, 48278, 7060, 30298
50, 2, 1888, 1, 0, 1, 2, 0, 0, 0, 0, 27472, 4920, 26412
50, 2, 1900, 46, 0, 46, 186, 0, 0, 0, 0, 37962, 6813, 37100
50, 2, 2000, 43, 0, 43, 182, 0, 0, 0, 0, 25931, 7527, 32276
50, 2, 2563, 28, 0, 28, 121, 0, 0, 0, 0, 40428, 8059, 26896
50, 2, 1784, 36, 0, 36, 129, 0, 0, 0, 0, 38218, 6720, 20941
50, 2, 1847, 16, 0, 16, 23, 0, 0, 0, 0, 27237, 8062, 26876
50, 2, 1680, 17, 0, 17, 49, 0, 0, 0, 0, 34572, 6324, 46080
50, 2, 1213, 2, 0, 2, 13, 0, 0, 0, 0, 33853, 6169, 20177
50, 2, 1854, 45, 0, 45, 140, 0, 0, 0, 0, 37071, 8051, 27415
50, 2, 1666, 13, 0, 13, 53, 0, 0, 0, 0, 39904, 6359, 29344
50, 2, 2310, 6, 0, 6, 25, 0, 0, 0, 0, 34208, 7594, 42122
50, 2, 1659, 24, 0, 24, 107, 0, 0, 0, 0, 24186, 6319, 27620
50, 2, 1514, 21, 0, 21, 76, 0, 0, 0, 0, 30802, 6650, 19858
50, 2, 2061, 16, 0, 16, 71, 0, 0, 0, 0, 42101, 6039, 27360
50, 2, 1915, 15, 0, 15, 89, 0, 0, 0, 0, 39868, 7935, 26251
50, 2, 2575, 11, 0, 11, 70, 0, 0, 0, 0, 42675, 6474, 28966
50, 2, 1928, 10, 0, 10, 28, 0, 0, 0, 0, 36902, 8760, 37480
50, 2, 1997, 36, 0, 36, 140, 0, 0, 0, 0, 34909, 10248, 30868
50, 2, 1482, 50, 0, 50, 144, 0, 0, 0, 0, 47926, 6661, 19788
50, 2, 1878, 26, 0, 26, 116, 0, 0, 0, 0, 46073, 6336, 28027
50, 2, 1757, 46, 0, 46, 167, 0, 0, 0, 0, 42814, 7147, 18128
50, 2, 1386, 20, 0, 20, 71, 0, 0, 0, 0, 20959, 4662, 21206
50, 2, 1973, 36, 0, 36, 149, 0, 0, 0, 0, 36990, 7060, 27310
50, 2, 2527, 7, 0, 7, 33, 0, 0, 0, 0, 37786, 8902, 31769
50, 2, 1384, 49, 0, 49, 254, 0, 0, 0, 0, 26974, 7006, 25246
50, 2, 1840, 3, 0, 3, 19, 0, 0, 0, 0, 32574, 4662, 46745
50, 2, 1952, 45, 0, 45, 160, 0, 0, 0, 0, 54587, 8033, 32956
50, 2, 2263, 22, 0, 22, 87, 0, 0, 0, 0, 36487, 7340, 19769
50, 2, 1993, 8, 0, 8, 23, 0, 0, 0, 0, 32108, 12371, 39898
50, 2, 1693, 27, 0, 27, 109, 0, 0, 0, 0, 33204, 7055, 28172
50, 2, 1806, 47, 0, 47, 191, 0, 0, 0, 0, 30284, 6814, 39704
50, 2, 1930, 23, 0, 23, 143, 0, 0, 0, 0, 32503, 9386, 40895
50, 2, 2029, 21, 0, 21, 73, 0, 0, 0, 0, 42806, 9717, 29424
50, 2, 1899, 27, 0, 27, 137, 0, 0, 0, 0, 37513, 7703, 40395
50, 2, 1942, 40, 0, 40, 109, 0, 0, 0, 0, 42770, 7347, 19176
50, 2, 1739, 24, 0, 24, 70, 0, 0, 0, 0, 33637, 8039, 25781
50, 2, 1414, 3, 0, 3, 12, 0, 0, 0, 0, 48197, 6138, 20518
50, 2, 1863, 47, 0, 47, 175, 0, 0, 0, 0, 35108, 7334, 27244
50, 2, 1667, 12, 0, 12, 58, 0, 0, 0, 0, 43402, 7072, 32101
50, 2, 1834, 23, 0, 23, 83, 0, 0, 0, 0, 33938, 6881, 23697
50, 2, 1148, 12, 0, 12, 56, 0, 0, 0, 0, 29306, 4812, 25274
50, 2, 2175, 16, 0, 16, 63, 0, 0, 0, 0, 47678, 9509, 27568
50, 2, 2155, 17, 0, 17, 74, 0, 0, 0, 0, 47224, 9529, 27385
50, 2, 2109, 49, 0, 49, 227, 0, 0, 0, 0, 30964, 11573, 33929
50, 2, 2004, 45, 0, 45, 230, 0, 0, 0, 0, 37962, 7125, 42717
50, 2, 1616, 11, 0, 11, 34, 0, 0, 0, 0, 50860, 6975, 26369
50, 2, 2303, 1, 0, 1, 0, 0, 0, 0, 0, 46208, 7468, 30409
50, 2, 1438, 30, 0, 30, 121, 0, 0, 0, 0, 32340, 7159, 24317
50, 2, 1341, 18, 0, 18, 66, 0, 0, 0, 0, 32400, 5521, 23832
50, 2, 2027, 13, 0, 13, 75, 0, 0, 0, 0, 35393, 6751, 34851
50, 2, 1536, 24, 0, 24, 103, 0, 0, 0, 0, 30609, 4371, 19147
50, 2, 1663, 9, 0, 9, 44, 0, 0, 0, 0, 43397, 6353, 35519
50, 2, 1433, 21, 0, 21, 90, 0, 0, 0, 0, 25862, 5978, 34798
50, 2, 1355, 12, 0, 12, 37, 0, 0, 0, 0, 29829, 5640, 22591
50, 2, 1712, 16, 0, 16, 102, 0, 0, 0, 0, 32798, 5591, 26164
50, 2, 2274, 28, 0, 28, 151, 0, 0, 0, 0, 34895, 9529, 30069
50, 2, 1822, 8, 0, 8, 25, 0, 0, 0, 0, 44670, 8730, 24146
50, 2, 1589, 16, 0, 16, 71, 0, 0, 0, 0, 35802, 9466, 22566
50, 2, 1630, 39, 0, 39, 166, 0, 0, 0, 0, 36388, 6128, 36677
50, 2, 2062, 31, 0, 31, 111, 0, 0, 0, 0, 43428, 9284, 35928
50, 2, 2492, 3, 0, 3, 17, 0, 0, 0, 0, 47487, 9049, 40203
50, 2, 1693, 40, 0, 40, 181, 0, 0, 0, 0, 39568, 6955, 22629
50, 2, 2174, 42, 0, 42, 181, 0, 0, 0, 0, 28082, 7598, 24748
50, 2, 1496, 39, 0, 39, 157, 0, 0, 0, 0, 27579, 5843, 15159
50, 2, 1405, 32, 0, 32, 93, 0, 0, 0, 0, 34760, 6146, 21415
50, 2, 1525, 12, 0, 12, 40, 0, 0, 0, 0, 26619, 9742, 22462
50, 2, 1839, 13, 0, 13, 44, 0, 0, 0, 0, 42726, 8717, 31651
50, 2, 2273, 9, 0, 9, 57, 0, 0, 0, 0, 45459, 9490, 49421
50, 2, 1239, 19, 0, 19, 92, 0, 0, 0, 0, 44498, 5908, 22104
50, 2, 2127, 32, 0, 32, 84, 0, 0, 0, 0, 31096, 9425, 40303
50, 2, 2199, 25, 0, 25, 87, 0, 0, 0, 0, 43455, 7428, 45832
50, 2, 1422, 47, 0, 47, 177, 0, 0, 0, 0, 42680, 5895, 29725
50, 2, 1848, 34, 0, 34, 146, 0, 0, 0, 0, 43070, 8975, 31095
50, 2, 1475, 19, 0, 19, 87, 0, 0, 0, 0, 36823, 4870, 23019
50, 2, 1296, 40, 0, 40, 123, 0, 0, 0, 0, 44723, 5462, 36031
50, 2, 1695, 3, 0, 3, 9, 0, 0, 0, 0, 32157, 5516, 26903
50, 2, 2379, 35, 0, 35, 132, 0, 0, 0, 0, 36215, 12416, 37382
50, 2, 1713, 33, 0, 33, 217, 0, 0, 0, 0, 25198, 5070, 33903
50, 2, 1670, 4, 0, 4, 11, 0, 0, 0, 0, 54120, 7921, 19996
50, 2, 1906, 7, 0, 7, 24, 0, 0, 0, 0, 41341, 7506, 35813
50, 2, 1886, 7, 0, 7, 35, 0, 0, 0, 0, 53213, 7358, 33478
50, 2, 2333, 38, 0, 38, 141, 0, 0, 0, 0, 47860, 15284, 30870
50, 2, 2146, 13, 0, 13, 29, 0, 0, 0, 0, 47274, 7656, 26067
50, 2, 2040, 30, 0, 30, 130, 0, 0, 0, 0, 38713, 8379, 35528
50, 2, 2343, 33, 0, 33, 86, 0, 0, 0, 0, 38193, 7985, 30001
50, 2, 1661, 34, 0, 34, 123, 0, 0, 0, 0, 49966, 11863, 38298
50, 2, 1533, 47, 0, 47, 188, 0, 0, 0, 0, 40032, 8349, 22232
50, 2, 2094, 22, 0, 22, 116, 0, 0, 0, 0, 52024, 8508, 26314
50, 2, 1641, 4, 0, 4, 11, 0, 0, 0, 0, 32022, 4896, 22540
50, 2, 1428, 47, 0, 47, 264, 0, 0, 0, 0, 29116, 6278, 18501
50, 2, 1549, 22, 0, 22, 89, 0, 0, 0, 0, 47335, 6797, 22671
50, 2, 2207, 27, 0, 27, 111, 0, 0, 0, 0, 21844, 7069, 25218
50, 2, 1709, 50, 0, 50, 134, 0, 0, 0, 0, 59406, 9453, 23025
50, 2, 1706, 38, 0, 38, 155, 0, 0, 0, 0, 35400, 5930, 37972
50, 2, 1645, 8, 0, 8, 29, 0, 0, 0, 0, 32031, 8354, 24514
50, 2, 1848, 35, 0, 35, 146, 0, 0, 0, 0, 37425, 8341, 39541
50, 2, 2329, 23, 0, 23, 66, 0, 0, 0, 0, 53126, 10755, 42228
50, 2, 1711, 12, 0, 12, 44, 0, 0, 0, 0, 40452, 7424, 26133
50, 2, 1327, 43, 0, 43, 119, 0, 0, 0, 0, 24090, 5310, 18402
50, 2, 1722, 21, 0, 21, 105, 0, 0, 0, 0, 29828, 7606, 40568
50, 2, 1537, 28, 0, 28, 82, 0, 0, 0, 0, 23551, 7728, 24909
50, 2, 1865, 24, 0, 24, 126, 0, 0, 0, 0, 24033, 6449, 37354
50, 2, 1787, 29, 0, 29, 169, 0, 0, 0, 0, 45999, 9447, 36546
50, 2, 2227, 31, 0, 31, 115, 0, 0, 0, 0, 32385, 9184, 43409
50, 2, 1804, 6, 0, 6, 19, 0, 0, 0, 0, 43115, 6474, 38032
50, 2, 3072, 5, 0, 5, 24, 0, 0, 0, 0, 39010, 9513, 59725
50, 2, 1693, 7, 0, 7, 39, 0, 0, 0, 0, 31769, 7253, 28188
50, 2, 1859, 24, 0, 24, 103, 0, 0, 0, 0, 42419, 7406, 23341
50, 2, 1342, 9, 0, 9, 58, 0, 0, 0, 0, 27198, 4953, 37982
50, 2, 1945, 11, 0, 11, 32, 0, 0, 0, 0, 42859, 8314, 32635
50, 2, 2119, 44, 0, 44, 162, 0, 0, 0, 0, 38145, 12152, 44675
50, 2, 2419, 41, 0, 41, 146, 0, 0, 0, 0, 31944, 8839, 40870
50, 2, 2352, 10, 0, 10, 29, 0, 0, 0, 0, 66429, 10037, 35628
50, 2, 2097, 15, 0, 15, 62, 0, 0, 0, 0, 36776, 7251, 29447
50, 2, 1729, 7, 0, 7, 17, 0, 0, 0, 0, 52994, 7240, 34279
50, 2, 2227, 18, 0, 18, 38, 0, 0, 0, 0, 39761, 8297, 31770
50, 2, 2222, 30, 0, 30, 122, 0, 0, 0, 0, 28682, 13193, 44369
50, 2, 1984, 31, 0, 31, 155, 0, 0, 0, 0, 41893, 7408, 25835
50, 2, 1472, 21, 0, 21, 92, 0, 0, 0, 0, 33695, 6865, 21896
50, 2, 1122, 21, 0, 21, 81, 0, 0, 0, 0, 32743, 5511, 23277
50, 2, 1314, 34, 0, 34, 98, 0, 0, 0, 0, 38330, 5574, 22215
50, 2, 2060, 6, 0, 6, 8, 0, 0, 0, 0, 42312, 8611, 32249
50, 2, 1872, 34, 0, 34, 143, 0, 0, 0, 0, 31258, 7616, 27681
