branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2001, 47, 0, 257, 0, 0, 0, 105, 105, 29514, 21422, 38670
50, 2, 1723, 7, 0, 37, 0, 0, 0, 11, 19, 40950, 10900, 23238
50, 2, 2138, 30, 0, 137, 0, 0, 0, 48, 59, 44104, 15368, 29702
50, 2, 2021, 15, 0, 93, 0, 0, 0, 46, 32, 47446, 12561, 19622
50, 2, 2200, 16, 0, 117, 0, 0, 0, 58, 43, 62546, 15799, 28103
50, 2, 2215, 36, 0, 168, 0, 0, 0, 59, 73, 33321, 23359, 28299
50, 2, 1375, 6, 0, 13, 0, 0, 0, 4, 3, 39120, 8483, 20856
50, 2, 2158, 3, 0, 12, 0, 0, 0, 5, 4, 27234, 12339, 40135
50, 2, 1695, 2, 0, 11, 0, 0, 0, 4, 5, 21004, 6830, 26579
50, 2, 1708, 16, 0, 95, 0, 0, 0, 42, 37, 31897, 11247, 40662
50, 2, 1213, 2, 0, 3, 0, 0, 0, 0, 1, 40963, 5697, 19764
50, 2, 1507, 15, 0, 68, 0, 0, 0, 29, 24, 34195, 8150, 29159
50, 2, 2068, 43, 0, 173, 0, 0, 0, 70, 60, 34863, 20160, 30390
50, 2, 1235, 3, 0, 15, 0, 0, 0, 6, 6, 22932, 6801, 33522
50, 2, 2050, 41, 0, 155, 0, 0, 0, 43, 71, 37587, 15190, 29029
50, 2, 1893, 33, 0, 161, 0, 0, 0, 60, 68, 32620, 14865, 38256
50, 2, 1136, 11, 0, 35, 0, 0, 0, 18, 6, 25556, 7757, 34468
50, 2, 1965, 10, 0, 46, 0, 0, 0, 17, 19, 38815, 11446, 26093
50, 2, 1954, 41, 0, 174, 0, 0, 0, 59, 74, 41676, 14712, 26733
50, 2, 1996, 32, 0, 202, 0, 0, 0, 87, 83, 33076, 25363, 24099
50, 2, 1526, 29, 0, 123, 0, 0, 0, 47, 47, 40474, 10900, 18901
50, 2, 2596, 1, 0, 7, 0, 0, 0, 4, 2, 49156, 13297, 37960
50, 2, 1838, 15, 0, 56, 0, 0, 0, 17, 24, 48016, 11324, 30181
50, 2, 1902, 46, 0, 228, 0, 0, 0, 96, 86, 26441, 21091, 44958
50, 2, 1628, 49, 0, 204, 0, 0, 0, 88, 67, 41314, 15351, 39031
50, 2, 1324, 2, 0, 6, 0, 0, 0, 1, 3, 30485, 6772, 34555
50, 2, 1774, 27, 0, 127, 0, 0, 0, 55, 45, 51277, 14002, 29228
50, 2, 833, 45, 0, 244, 0, 0, 0, 100, 99, 24401, 9753, 21035
50, 2, 1800, 4, 0, 21, 0, 0, 0, 8, 9, 32074, 9795, 31300
50, 2, 1514, 50, 0, 282, 0, 0, 0, 102, 130, 34623, 15265, 21994
50, 2, 1504, 4, 0, 20, 0, 0, 0, 9, 7, 33040, 6984, 31089
50, 2, 1907, 17, 0, 126, 0, 0, 0, 59, 50, 25347, 11157, 31470
50, 2, 1582, 40, 0, 199, 0, 0, 0, 66, 93, 44697, 22322, 25332
50, 2, 2201, 3, 0, 15, 0, 0, 0, 5, 7, 59773, 12635, 24255
