branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2093, 46, 46, 0, 0, 0, 0, 0, 0, 34096, 7180, 28202
50, 2, 2467, 49, 49, 0, 0, 0, 0, 0, 0, 48341, 10935, 29579
50, 2, 1431, 20, 20, 0, 0, 0, 0, 0, 0, 62767, 8023, 25061
50, 2, 1526, 2, 2, 0, 0, 0, 0, 0, 0, 27729, 3847, 19576
50, 2, 2329, 40, 40, 0, 0, 0, 0, 0, 0, 26641, 7395, 42991
50, 2, 1732, 24, 24, 0, 0, 0, 0, 0, 0, 42368, 5793, 28826
50, 2, 1472, 17, 17, 0, 0, 0, 0, 0, 0, 34896, 4750, 32985
50, 2, 1686, 49, 49, 0, 0, 0, 0, 0, 0, 32762, 5606, 17110
50, 2, 1961, 19, 19, 0, 0, 0, 0, 0, 0, 35091, 11188, 31549
50, 2, 1488, 30, 30, 0, 0, 0, 0, 0, 0, 27458, 6478, 30834
50, 2, 2556, 34, 34, 0, 0, 0, 0, 0, 0, 48395, 9498, 38054
50, 2, 1877, 14, 14, 0, 0, 0, 0, 0, 0, 38652, 9840, 42458
50, 2, 1904, 20, 20, 0, 0, 0, 0, 0, 0, 34088, 6807, 28149
50, 2, 1742, 32, 32, 0, 0, 0, 0, 0, 0, 32484, 5370, 20389
50, 2, 1854, 25, 25, 0, 0, 0, 0, 0, 0, 40503, 7339, 31211
50, 2, 1991, 2, 2, 0, 0, 0, 0, 0, 0, 28609, 7228, 42470
50, 2, 1523, 46, 46, 0, 0, 0, 0, 0, 0, 24675, 3759, 15257
50, 2, 873, 25, 25, 0, 0, 0, 0, 0, 0, 23971, 3438, 14479
50, 2, 1901, 8, 8, 0, 0, 0, 0, 0, 0, 55986, 6488, 22650
50, 2, 1957, 20, 20, 0, 0, 0, 0, 0, 0, 33798, 6155, 42151
50, 2, 1644, 30, 30, 0, 0, 0, 0, 0, 0, 35449, 6891, 41902
50, 2, 1747, 48, 48, 0, 0, 0, 0, 0, 0, 38001, 7001, 26920
50, 2, 1890, 31, 31, 0, 0, 0, 0, 0, 0, 28576, 6321, 29057
50, 2, 1940, 43, 43, 0, 0, 0, 0, 0, 0, 54670, 7501, 23135
50, 2, 1177, 40, 40, 0, 0, 0, 0, 0, 0, 27685, 4831, 15173
50, 2, 2036, 30, 30, 0, 0, 0, 0, 0, 0, 30033, 5226, 22863
50, 2, 1817, 43, 43, 0, 0, 0, 0, 0, 0, 37356, 5431, 22666
50, 2, 1208, 33, 33, 0, 0, 0, 0, 0, 0, 25046, 5791, 15587
50, 2, 1237, 15, 15, 0, 0, 0, 0, 0, 0, 28043, 4359, 22584
50, 2, 1703, 9, 9, 0, 0, 0, 0, 0, 0, 28024, 5697, 22996
50, 2, 2283, 40, 40, 0, 0, 0, 0, 0, 0, 45081, 6511, 27593
50, 2, 1500, 8, 8, 0, 0, 0, 0, 0, 0, 37579, 7069, 28338
50, 2, 1875, 41, 41, 0, 0, 0, 0, 0, 0, 25066, 5443, 23871
50, 2, 2337, 31, 31, 0, 0, 0, 0, 0, 0, 38298, 7713, 32312
50, 2, 1284, 45, 45, 0, 0, 0, 0, 0, 0, 34451, 4826, 33970
50, 2, 1364, 46, 46, 0, 0, 0, 0, 0, 0, 23090, 6244, 34979
50, 2, 2196, 46, 46, 0, 0, 0, 0, 0, 0, 45294, 7506, 34339
50, 2, 1439, 39, 39, 0, 0, 0, 0, 0, 0, 22703, 4916, 30071
50, 2, 1805, 30, 30, 0, 0, 0, 0, 0, 0, 21157, 5665, 40680
50, 2, 1777, 2, 2, 0, 0, 0, 0, 0, 0, 57673, 6846, 19921
50, 2, 1852, 8, 8, 0, 0, 0, 0, 0, 0, 30347, 6324, 25016
50, 2, 1931, 7, 7, 0, 0, 0, 0, 0, 0, 51430, 6861, 22240
50, 2, 1837, 18, 18, 0, 0, 0, 0, 0, 0, 27964, 5044, 23667
50, 2, 2515, 30, 30, 0, 0, 0, 0, 0, 0, 49886, 8229, 36401
50, 2, 2487, 30, 30, 0, 0, 0, 0, 0, 0, 39664, 7836, 35110
50, 2, 2678, 5, 5, 0, 0, 0, 0, 0, 0, 46718, 10209, 37152
50, 2, 1740, 24, 24, 0, 0, 0, 0, 0, 0, 54560, 6475, 26750
50, 2, 1990, 49, 49, 0, 0, 0, 0, 0, 0, 28132, 9441, 36519
50, 2, 1627, 8, 8, 0, 0, 0, 0, 0, 0, 45543, 8152, 17352
50, 2, 1422, 33, 33, 0, 0, 0, 0, 0, 0, 35623, 5566, 23708
50, 2, 1248, 7, 7, 0, 0, 0, 0, 0, 0, 28173, 4911, 23384
50, 2, 1613, 37, 37, 0, 0, 0, 0, 0, 0, 39534, 5269, 27673
50, 2, 2243, 31, 31, 0, 0, 0, 0, 0, 0, 27625, 6568, 47979
50, 2, 1410, 26, 26, 0, 0, 0, 0, 0, 0, 26120, 5173, 26673
50, 2, 1410, 27, 27, 0, 0, 0, 0, 0, 0, 39457, 5054, 25983
50, 2, 1823, 23, 23, 0, 0, 0, 0, 0, 0, 23212, 4706, 19095
50, 2, 2243, 44, 44, 0, 0, 0, 0, 0, 0, 39409, 7262, 31416
50, 2, 1686, 15, 15, 0, 0, 0, 0, 0, 0, 34297, 5702, 38234
50, 2, 1897, 40, 40, 0, 0, 0, 0, 0, 0, 44167, 8172, 20395
50, 2, 1814, 21, 21, 0, 0, 0, 0, 0, 0, 35279, 5808, 33111
50, 2, 1335, 12, 12, 0, 0, 0, 0, 0, 0, 27386, 3735, 17424
50, 2, 1985, 47, 47, 0, 0, 0, 0, 0, 0, 40384, 8154, 33238
50, 2, 1460, 48, 48, 0, 0, 0, 0, 0, 0, 39207, 5500, 18536
50, 2, 1620, 33, 33, 0, 0, 0, 0, 0, 0, 36980, 6613, 38960
50, 2, 1525, 26, 26, 0, 0, 0, 0, 0, 0, 38261, 5964, 18762
50, 2, 1971, 31, 31, 0, 0, 0, 0, 0, 0, 42953, 7292, 22500
50, 2, 2162, 11, 11, 0, 0, 0, 0, 0, 0, 36654, 4981, 20008
50, 2, 2001, 45, 45, 0, 0, 0, 0, 0, 0, 40788, 7407, 21346
50, 2, 1925, 23, 23, 0, 0, 0, 0, 0, 0, 28193, 6551, 37808
50, 2, 1571, 47, 47, 0, 0, 0, 0, 0, 0, 42734, 5690, 24458
50, 2, 1762, 1, 1, 0, 0, 0, 0, 0, 0, 53457, 5823, 21068
50, 2, 1884, 27, 27, 0, 0, 0, 0, 0, 0, 26589, 7749, 28388
50, 2, 2182, 1, 1, 0, 0, 0, 0, 0, 0, 29210, 6005, 31807
50, 2, 2150, 45, 45, 0, 0, 0, 0, 0, 0, 43650, 6822, 24313
50, 2, 1969, 37, 37, 0, 0, 0, 0, 0, 0, 29382, 5661, 23089
50, 2, 1967, 47, 47, 0, 0, 0, 0, 0, 0, 49797, 7767, 33963
50, 2, 1055, 31, 31, 0, 0, 0, 0, 0, 0, 28271, 3335, 20491
50, 2, 1233, 49, 49, 0, 0, 0, 0, 0, 0, 24902, 4430, 20064
50, 2, 2523, 45, 45, 0, 0, 0, 0, 0, 0, 38397, 8126, 37876
50, 2, 1662, 20, 20, 0, 0, 0, 0, 0, 0, 42305, 5848, 31677
50, 2, 2094, 42, 42, 0, 0, 0, 0, 0, 0, 44251, 7271, 29861
50, 2, 1932, 4, 4, 0, 0, 0, 0, 0, 0, 45762, 6559, 29932
50, 2, 1637, 47, 47, 0, 0, 0, 0, 0, 0, 32438, 5637, 27677
50, 2, 1612, 33, 33, 0, 0, 0, 0, 0, 0, 27149, 3579, 17639
50, 2, 1897, 34, 34, 0, 0, 0, 0, 0, 0, 32859, 5963, 38725
50, 2, 1682, 2, 2, 0, 0, 0, 0, 0, 0, 41116, 6073, 21819
50, 2, 1418, 12, 12, 0, 0, 0, 0, 0, 0, 32305, 4383, 18167
50, 2, 1652, 11, 11, 0, 0, 0, 0, 0, 0, 37051, 5727, 33919
50, 2, 2272, 8, 8, 0, 0, 0, 0, 0, 0, 34325, 9756, 45326
50, 2, 1803, 11, 11, 0, 0, 0, 0, 0, 0, 24503, 5387, 31477
50, 2, 1887, 38, 38, 0, 0, 0, 0, 0, 0, 32960, 7290, 30872
50, 2, 1040, 24, 24, 0, 0, 0, 0, 0, 0, 33721, 6880, 25363
50, 2, 1239, 17, 17, 0, 0, 0, 0, 0, 0, 26618, 4796, 20798
50, 2, 1674, 12, 12, 0, 0, 0, 0, 0, 0, 28188, 6974, 30141
50, 2, 1769, 21, 21, 0, 0, 0, 0, 0, 0, 32001, 5880, 24006
50, 2, 2358, 38, 38, 0, 0, 0, 0, 0, 0, 71308, 8924, 40695
50, 2, 2343, 44, 44, 0, 0, 0, 0, 0, 0, 60266, 9137, 24890
50, 2, 1860, 2, 2, 0, 0, 0, 0, 0, 0, 28886, 7359, 26725
50, 2, 2236, 5, 5, 0, 0, 0, 0, 0, 0, 30834, 5793, 46737
50, 2, 1703, 7, 7, 0, 0, 0, 0, 0, 0, 51922, 6827, 27223
50, 2, 2072, 41, 41, 0, 0, 0, 0, 0, 0, 36174, 7081, 25771
50, 2, 1211, 6, 6, 0, 0, 0, 0, 0, 0, 23757, 3880, 28466
50, 2, 1473, 32, 32, 0, 0, 0, 0, 0, 0, 43403, 6759, 28603
50, 2, 1312, 12, 12, 0, 0, 0, 0, 0, 0, 22496, 5393, 29221
50, 2, 1894, 20, 20, 0, 0, 0, 0, 0, 0, 27358, 5443, 18079
